Startup,URL,Business Description,Funding Stage, Total funding (US$),Opportunity Space,Opportunity Space 2,Founded,Country,Industry,Maturity,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Kava Kasa,http://www.kavakasagr.com/,"Kava is a root of the piper methysticum plant grown throughout the South Pacific Islands. The kava kava root is made into a cold brew tea, referred to as kava milk. Kava tea has been apart of the islander’s culture for over a thousand years in ceremonies, social events, and for medicinal purposes. Kava promotes a peaceful taste of well being leaving you feeling relaxed and ready to socialize, naturally.",Undisclosed,,Relieving Stress,Relaxation Environment,,USA,,,,,,
DAO Labs,https://mydaolabs.com/,"Dao Labs is engaged in manufacturing and marketing a range of natural ingredients based herbal effervescent powders for balanced body and mind. The company has a portfolio of 4 effervescent powder products for emotional balance, digestive harmony (relieves stress and provides mental clarity), immunity support (safety from airborne pathogens) and women's formula (provides regularity and strength during monthly cycle).",Seed,260000,Relieving Stress,,2015,USA,,,,,,
Moodbeam,https://www.moodbeam.co.uk/,"MoodBeam has developed an app for tracking emotional wellness. The user can log in the emotional status or track the vitals from the wearable device and the app records the wellness. The app provides patterns, trends and insights into the mood changes of the user to create positive changes to improve mental health.",Seed,265000,Relieving Stress,,2016,England,,,,,,
Silo Wellness,https://silowellness.com/,"SIlo Wellness understands that  supply chain, technology, formulation, strategic partnerships and first-to-market branding will be essential for emerging markets in the mushroom/psilocybin, DMT/ayahuasca  and mescaline/peyote psychedelic therapy industry. Our team of experienced professionals stay current about the latest trends in this space modeling the lessons learned in cannabis/hemp and pharmaceutical industries. We intend to be directly involved through ownership interests, product licensing agreements, and management contracts in the cultivation, manufacturing, and therapy dosing in this emerging space.",Undisclosed,,Creating Euphoria,,2019,USA,,,,,,
Seedlip,https://seedlipdrinks.com/uk/,"Seedlip is a distilled non-alcoholic spirit, created to solve the dilemma of ""what-to-drink-when-you're-not drinking"". ",Acquired,2014,Creating Euphoria,,2014,England,,,,,,
Kava collective,https://www.kavacollective.com/,"Premium, high-quality Kava Kava root powder, instant Kava, Kava kits and accessories.",Undisclosed,,Creating Euphoria,,2013,USA,,,,,,
CalmiGo,https://calmigo.com/,CalmiGo's is a developer of the device for relieving stress. The device is used for relieving from stress/ anxiousness. The smart technology to regulate breathing and detaches the senses from stress/anxiousness.,Undisclosed,,Relieving Stress,,2018,USA,,,,,,
Dirty Lemon,https://dirtylemon.com/,"Dirty Lemon is a brand of lemon juices. Offerings include lemon juices across various categories such as collagen, charcoal, matcha, ginseng, and sleep lemon juice. The company claims that its products are made of concentrated sources of antioxidants and contains caffeine as well. Users can add preferred products to the shopping cart & enter contact number while checking out. The company sends them a confirmation message once the order is accepted. Users can update the required details through text messages & make the payment as discussed with the company. They can re-order products only through texts messages.",Series A,15100000,Relieving Stress,,2015,USA,,,,,,
Green Roads,https://greenroads.com/,"Company that sells CBD-infused products such as tinctures and balms. They distribute online and also in 6,000 physical stores and 2,000 doctors' offices.",Undisclosed,,Relieving Stress,,2011,USA,,,,,,
Endoca,https://www.endoca.com/,"Endoca produces CBD oil. The company grows, harvest and process its plants themselves and use its own equipment and machinery to deliver the finished products.",Undisclosed,,Relieving Stress,,2013,Netherlands,,,,,,
Bluebird Botanicals,https://bluebirdbotanicals.com/,A natural supplement provider focused on hemp CBD products.,Undisclosed,,Relieving Stress,,2012,USA,,,,,,
Isodiol,https://isodiol.com/,"Isodiol grow and harvest hemp on an industrial scale, and then process it to extract the cannabidiol CBD to the highest available purity for worldwide distribution.",Undisclosed,48400000,Relieving Stress,,2014,Canada,,,,,,
Mesical Marijuana Group Corp.,https://www.medmg.ca/,"Medical Marijuana is an industrial hemp and cannabis-based products leader. The company has become a market leader in CBD oil products manufactured specifically for nutraceutical, cosmeceutical, and pharmaceutical industries.",Undisclosed,,Relieving Stress,,2013,Canada,,,,,,
Senser,https://www.senserspirits.com/,"Each bottle of Senser’s Plants Spirits contains approx. 30g of active botanical content. That means the compounds, micronutrients, minerals, vitamins, protein structures and other ‘functional’ parts of the plants are still present and active in the liquid. ",Undisclosed,,Creating Euphoria,,2019,England,,,,,,
CBD American Shaman,https://cbdamericanshaman.com/,CBD American Shaman is a producer of high-quality hemp oil that contains high amounts of CBD.,Undisclosed,,Relieving Stress,,2015,USA,,,,,,
Elixinol,https://www.elixinol.com/,"Elixinol is a Colorado based company, focused on manufacturing and providing the highest quality CBD Hemp extracts in the world.",Undisclosed,,Relieving Stress,,2014,USA,,,,,,
Evopure,https://www.evopure.co.uk/,"A CBD oil startup which is a natural remedy for balancing moods, anxiety and improving overall wellbeing. The product is farm-to-table, coming directly from organic hemp farms and Evopure works with environmental groups to ensure each product arrives carbon free.",Undisclosed,,Relieving Stress,,2019,England,,,,,,
CBD For Life,https://cbdforlife.us/,"CBD For Life produces highly innovative, natural, luxurious, and effective Cannabidiol (CBD) infused pain management and beauty products using 99% pure CBD extract derived from stems and stalks of industrial hemp.",Undisclosed,,Relieving Stress,,2015,USA,,,,,,
Beboe,https://www.beboe.com/,"The company's sophisticated cannabis products are produced with attention to detail in all aspects of production, from package design to the product's unique blend of THC and CBD, enabling consumers to have a unique experience and education in the world of cannabis.",Undisclosed,,Relieving Stress,,2017,USA,,,,,,
Lord Jones,https://lordjones.com/,Lord Jones manufactures and distributes the world's finest hemp-derived CBD infused products.,Undisclosed,,Relieving Stress,,2013,USA,,,,,,
Aver London,https://averlondon.com/,"Aver is a CBD brand you can trust. Explorerange of Premium CBD products for sale in the UK including Boost Oil, Calm Oil, and CBD infused functional drinks.",Undisclosed,,Relieving Stress,,2019,England,,,,,,
The Chillery,https://thechillery.com/,"Combining Floriane’s decade-long work for the world’s top beauty brands and Marisa’s knowledge of the most sought-after CBD products from California, The Chillery boasts a sharply curated selection of the foremost CBD wellness products. It is a trusted place for the discerning woman to learn about all matters CBD. Join us on our journey to elevated wellness. ",Undisclosed,,Relieving Stress,,,USA,,,,,,
Kalm with kava,https://kalmwithkava.com/,"Kalm with Kava began in 2010 with a simple mission, to create great tasting and effective Noble kava products to help people relax more naturally.",Unfunded,,Relieving Stress,,2011,USA,,,,,,
Pzizz,https://pzizz.com/,"Pzizz offers a mobile app to improve sleep through music therapy. The company designed sequences of sound tailored to various portions of sleep cycle, with the goal being to have user fall asleep quickly, stay asleep, and wake up feeling refreshed. The company claims to have over 500,000 users.",Unfunded,,Improving Sleep,,2008,England,,,,,,
Wacacon Kava,https://www.wakacon.com/,"Providing traditional kava, made up of ground roots, which are made into a tea, and traditionally strained through a strainer bag or other straining method, and then drank.",Undisclosed,,Relieving Stress,,2016,USA,,,,,,
Naturevibe Botanicals,https://naturevibe.com/,"Naturevibe Botanicals specializes in providing an entire range of the highest quality organic botanical health food products from around the world, thereby encouraging people to choose a healthy, nutritious, chemical-free lifestyle.It provides organic maca cacao powder, organic cacao powder and organic cacao nibs.",Unfunded,,Relieving Stress,,2017,USA,,,,,,
VH Nutrition,https://vhnutritionllc.com/products/kava-kava-700mg-capsules-piper-methysticum-extract-60-day-supply,Kava Kava (Piper methysticum) is a natural herb that helps to reduce anxiety and stress symptoms,Undisclosed,,Relieving Stress,,2007,USA,,,,,,
Hummly,https://www.humm.ly/,"Humm Ly is an online platform for streamers to stream music for relaxation. The application provides clinically proved music for streamers that help them to regulate their heartbeats, blood pressure & thrives, etc. ",Undisclosed,,Relieving Stress,Meditation 2.0,2017,USA,,,,,,
Maui Medicinal,https://www.mauimedicinal.com/collections/hawaiian-kava,"Maui Medicinal offers online natural & Ayurvedic herbs which are antioxidant, anti-stress and highly absorb-able nutrients for human body.",Unfunded,,Relieving Stress,,2000,USA,,,,,,
Trimino,https://drinktrimino.com/,"Drink Trimino is a protein fortified flavored water consumer brand. The product is available in 4 flavors. A bottle of water contains 28kcals, 7g of whey protein and is also fortified with vitamin B complex. ",Series A,"8,500,000",Relieving Stress,,2013,USA,,,,,,
Hemp Derived Nutraceuticals,https://hempderivednutraceuticals.com/,Hemp Derived Nutraceuticals – We're make top quality products for nutritional and supplemental needs with CBD & Hemp,Unfunded,,Relieving Stress,,2019,USA,,,,,,
Moona,https://en.getmoona.com/,Moona is a smart device for managing the temperature of the pillow to improve sleep quality. The device is a thermo-regulated pad which monitors and regulates the pillow temperature based on the sleep patterns.,Seed,750000,Improving Sleep,,2016,France,,,,,,
Texas Oil CBD,https://www.texasoilcbd.com/,"Texas CBD Oil is an online retailer of CBD products. It offers CBD tinctures, edibles, concentrates, capsules, vape oils, skin care products, pet products, etc. It offers products of various brands including ""Abinoid botanicals"", ""Alternate Vape"", ""Hemp Oil Care"", ""Purfurred"", ""Tasty Hemp Oil"", ""Made by Hemp"", etc.",Unfunded,,Relieving Stress,,2019,USA,,,,,,
Inscape,https://inscape.life/,"Inscape offers meditation programs via the app or at a meditation studio located in New York City. It is founded by Khajak Keledjian, former owner of the boutique chain Intermix. The app makes relevant suggestions based on time of day. The app offers guided meditations, sound baths, relaxation techniques and breathing exercises. Inscape also conducts meditation sessions at their NYC studio.",Seed,1880000,Relieving Stress,,2016,USA,,,,,,
The TouchPoint Solution,https://thetouchpointsolution.com/,"The TouchPoint Solution has developed a pair of wristband called Buzzies using a patented technology called BLAST (bilateral alternating stimulation -tactile). The company offers TouchPoints for calm, TouchPoints for sleep and TouchPoinys for Kids. The wristband is worn on both the arms or kept in pockets in such a way that both bands should be on opposite sides of the body. TouchPoints give the user a gentle vibration that affects the brain and alters the body's stress response to restore calm. This also relieves the associated body sensations that often accompany stress. The company has raised more than $66K on a goal of $15K on Kickstarter.",Seed,75000,Relieving Stress,,2015,USA,,,,,,
Magneceutical,https://magneceutical.com/,"Magnaceutical is a manufacturer of a device for relieving stress and providing relaxation. The device immerses the entire body in a uniform, natural magnetic field at the molecular level. it stimulated the vagus nerve and provides a balancing effect on the autonomic nervous system. It also helps in improved heart rate variability. The device is FDA approved.",Seed,200000,Relieving Stress,Relaxation Environment,2011,USA,,,,,,
Dr. Kerklaan Therapeutics,https://drkerklaan.com/,"Dr. Kerklaan Therapeutics is a manufacturer and distributor of cannabis-based medical products. It offers CBD-based creams and lotions to relieve pains and stresses. The products are marketed under the brand name ""Dr. Kerklaan Therapeutics"". The products can be purchased online from its website and delivered through 3PL providers.",Unfunded,,Relieving Stress,,2016,USA,,,,,,
Moon Juice,https://moonjuice.com/pages/supplements,"Moon Juice is a brand of natural skin care products. Its products include serums, facial creams, wrinkle creams, etc. The firm sells products through its online store. Products are also sold via its offline stores and via partnered offline retailers in the US.",Undisclosed,,Relieving Stress,,2011,USA,,,,,,
Neom Organic,https://www.neomorganics.com/collections/wellbeing-pod?gclid=Cj0KCQiA-bjyBRCcARIsAFboWg1iSmBn_3-eA5tEXSKXMzoQH7UeTrd-5afl84NVVlQpxNfw_nRZ_uAaAgSEEALw_wcB,"Neom Organics is a brand of personal care products such as bath oils, body lotions, scrubs etc and home fragrance products such as perfumes, candles, diffusers and mists. It claims to make 100% natural fragrances from natural and organic ingredients. It sells its products both through online and offline stores. Some of its products have won beauty awards.",Unfunded,,Relieving Stress,,2005,England,,,,,,
LiveLife,https://www.livelifesupplements.com/,"LiveLife supplements contain antioxidants, amino acids, and adaptogens to help block the conversion of alcohol into carcinogens. The ingredients are used to detoxify liver, lower alcohol effect on brain, alcohol-related inflammation, and D-Glucarate removes excess estrogen.",Unfunded,,Energizing,,2018,USA,,,,,,
Sleepasil,https://sleepasil.com/,"Organica Nutraceuticals is engaged in manufacturing and marketing sleep support supplement. The company sells the product under the brand name Sleepasil. The company claims that the product is made of natural ingredients. Primary ingredients include Melatonin, Chamomile, and Valerian root. The company claims that the product helps in relaxing the body and relieving the mind of stress and anxiety, thereby achieving normal sleep pattern. As of Feb 2018, the company sells the product through partnering with retailers.",Unfunded,,Improving Sleep,,2005,Philippines,,,,,,
Tranzend,https://tranzendhealth.com/,Tranzend is engaged in manufacturing and marketing dietary supplements. Product offered by the company are CortiZen and Detox Stix. These consist of herbal extracts and vitamins. CortiZen is a stress reliever and Detox Stix assist in body detoxification. The company sells its products online.,Unfunded,,Energizing,,2015,USA,,,,,,
Sunday Scaries,https://sundayscaries.com/,"Sunday Scaries is a lifestyle brand devoted to providing a natural CBD product in an affordable, fun, and delicious way to help people everywhere chill tf out.",Undisclosed,,Relieving Stress,,2017,USA,,,,,,
Lazarus Naturals,https://www.lazarusnaturals.com/,"Lazarus Naturals produces high quality CBD oil made from Hemp & Ecommerce of dietary supplements, CBD, CBD Oil, Balm, Capsules and more.",Undisclosed,,Relieving Stress,,2014,USA,,,,,,
Nuleaf Naturals,https://nuleafnaturals.com/,"NuLeaf Naturals offers all-natural, lab-tested, organic CBD oils, and extracts.",Undisclosed,,Relieving Stress,,2014,USA,,,,,,
Charlotte's Web,https://www.charlottesweb.com/,Charlotte's Web CBD products are made from our world-renowned hemp genetics grown 100% in Colorado.,Undisclosed,422900000,Relieving Stress,,2014,USA,,,,,,
Flora Sophia Botanicals,https://www.florasophiabotanicals.com/#/,"This is a CBD product that fully complies with the farm bill, which means the THC content in the oil will be less than 0.3%, as outlined by the law. The company sources the hemp from local farmers and uses an advanced process to assure top-quality oils can be provided to the customer.",Unfunded,,Relieving Stress,,2017,USA,,,,,,
Re Botanicals,https://www.rebotanicals.com/,Re Botanicals is a national hemp CBD brand certified organic by the USDA,Seed,2000000,Relieving Stress,,2018,USA,,,,,,
CBDistillery,https://www.thecbdistillery.com/,"CBDistillery provides the highest quality, fairly priced hemp derived CBD.",Unfunded,,Relieving Stress,,2013,USA,,,,,,
CBDpure,https://www.cbdpure.com/?AFFID=268524,CBDpure provides high quality and high content hemp derived CBD cannabanoid oils.,Unfunded,,Relieving Stress,,2015,USA,,,,,,
The Alchemist's Kitchen,https://www.thealchemistskitchen.com/,Providing hemp-based CBD products.,Unfunded,,Relieving Stress,,2015,USA,,,,,,
JustCBD,https://justcbdstore.com/,Providing pure quality CBD oil products.,Unfunded,,Relieving Stress,,2017,England,,,,,,
Medix CBD,https://www.medixcbd.com/,"Medix CBD is a CBD Manufacturer company based on Aventura, FL promising the premium quality CBD products to the consumers.",Undisclosed,,Relieving Stress,,2017,USA,,,,,,
CBDmd,https://www.cbdmd.com/,cbdMD is a consumer products brand offering a large selection of cbdMD branded CBD products primarily through its ecommerce.,Undisclosed,,Relieving Stress,,2015,USA,,,,,,
Mesterra,https://medterracbd.shop/uk/,"Producing CBD products that are trustworthy, safe and effective.",Undisclosed,,Relieving Stress,,2017,USA,,,,,,
Wellicy,https://wellicy.com/,"Wellicy is the leading retailer for premium hemp derived CBD products including CBD Oil, CBD Vape Juice, CBD Lotions, CBD Pet Products, and much more.",Undisclosed,,Relieving Stress,,2017,USA,,,,,,
Green Wellness Life,https://www.greenwellnesslife.com/,"Delivering lab-tested,pure grade CBD products derived from both domestic and imported industrial hemp.",Undisclosed,,Relieving Stress,,2016,England,,,,,,
CBD Care Plus,http://www.cbdcareplus.com/,CBD CARE PLUS was developed by a renowned chemist with over 30 years of experience in formulating personal care products and an expert in the cannabis and CBD field.,Undisclosed,,Relieving Stress,,2017,USA,,,,,,
Spruce CBD,https://takespruce.com/,"Spruce produces American made, highest quality, lab grade CBD.",Undisclosed,,Relieving Stress,,2018,USA,,,,,,
CBDfx,https://cbdfx.com/,"CBDfx offers the highest quality, full spectrum CBD products on the market.",Undisclosed,,Relieving Stress,,2012,USA,,,,,,
Medterra,https://medterracbd.co.uk/,"Medterra is committed to exceeding the current wellness norms by continuing to innovate and produce CBD products that are trustworthy, safe and effective.",Undisclosed,,Relieving Stress,,2017,USA,,,,,,
Mana Botanics,https://manabotanics.com/,Producting CBD can deliver without the psychoactive component.,Undisclosed,,Relieving Stress,,2016,USA,,,,,,
Receptra Natures,https://receptranaturals.com/,"Receptra Naturals is a leading hemp oil and CBD products company serving the Health & Wellness, Active Lifestyle and Pet communities.",Undisclosed,,Relieving Stress,,2015,USA,,,,,,
CalmSupport,https://calmsupport.com/,CalmSupport provides herbal supplements. The supplements are meant for relieving stress and offering relaxation support. The company uses bioactive vitamins and organic whole-herb powder for their product.,Unfunded,,Relieving Stress,,2013,USA,,,,,,
Geo-fresh,https://www.geo-fresh.com/,Providing Gotu Kola lowers Cortisol (stress hormone) and increases serotinin and dopamine(happy) level. This has a positive impact on anxiety issues.,Unfunded,,Relieving Stress,,2005,India,,,,,,
Sutiwa,http://www.sutiwa.com/,SUTIWA is a truly relaxing hemp drink for the brain. It has a strong and lasting effect on improving mood and confidence.,Unfunded,,Relieving Stress,,2016,China,,,,,,
ViB,https://www.facebook.com/DrinkViB/,"VACATION IN A BOTTLE™ is The Happy Relaxation Drink. ViB is great tasting, only 40 calories, and caffeine free and helps you unwind and focus from daily stress. ",Undisclosed,,Relieving Stress,,2008,USA,,,,,,
Muse,https://choosemuse.com/,"Muse offers an eponymous brain fitness tool that helps users to keep their brains fit. The headband measures the electrical signals from the user's brain with the help of seven sensors — three in the center that establishes a basis of brain activity, two behind the ears and two others off to the sides, all of which collect and translate data into feedback user can understand and can track on a mobile application. It works in integration with a companion application that is compatible with both Android and iOS devices. The company offers two variants namely the first for meditation and the second for health applications. Won the OCE Mind to Market Award (2014), Silver in Best Next Generation-Experience UX Award, Innovator of the Year Finalist - PWC Vision To Reality Awards and 20 Hottest Innovative Companies Finalist - Canadian Innovation Exchange (CIX).",Series B,41400000,Relieving Stress,,2009,Canada,,,,,,
Neuvana,https://neuvanalife.com/,Stress and anxiety are time wasters and get in the way of having fun. Purple Stuff has no caffeine and no HFCS.,Unfunded,,Relieving Stress,Day-to-day stress monitoring,2019,USA,,,,,,
Eureka Effects CBD,https://www.eurekacbd.com/,"Their CBD oil offers a variety of cannabinoids that respond well with the body, and its natural endocannabinoid system.",Undisclosed,,Relieving Stress,,2016,USA,,,,,,
FAB CBD,https://fabcbd.com/,They Create Premium CBD Products Using Only Ogranically Grown Colorado Hemp Extracts.,Undisclosed,,Relieving Stress,,2017,USA,,,,,,
Joy Organics,https://joyorganics.com/,"Joy Organics is a family-owned and operated CBD business that specializes in full spectrum and THC-free hemp products. With three stores, and over 100 retailers, Joy Organics is becoming an industry-leader in the CBD space.",Undisclosed,,Relieving Stress,,2018,USA,,,,,,
Head and Heal,https://headandheal.com/,"Their CBD comes from U.S. farm-grown hemp, and they formulate and bottle it themselves.",Unfunded,,Relieving Stress,,,USA,,,,,,
Kin,https://shop.kineuphorics.com/products/high-rhode,"Kin Euphorics provides hangover relieving nutraceutical. The supplement contains Rhodiola root, GABA, 5-HTP, citocoline, phenibut, tyrosine, hibiscus extract, gentian, licorice, and orange. The supplement helps to fight the side-effects of alcohol consumption.",Unfunded,,Creating Euphoria,,2018,USA,,,,,,
Mission Farms CBD,https://missionfarmscbd.com/,"Crafting CBD products that target specific health conditions, such as anxiety, pain, and sleeplessness. Their CBD products are an all-natural way to reduce inflammation, lower stress, improve mood, and give people's overall wellness a boost.",Unfunded,,Relieving Stress,,2018,USA,,,,,,
Populum,https://populum.com/,"Producing by using purely earth-grown ingredients, their goal is to provide customers with the highest quality hemp-derived products known.",Unfunded,,Relieving Stress,,2016,USA,,,,,,
Press Pause Project,https://www.presspauseproject.com/,"Press Pause Project offers organic, locally sourced CBD products that help alleviate the daily stresses and pain all of us experience.",Unfunded,,Relieving Stress,,2018,Spain,,,,,,
Green Gorilla,https://ilovegreengorilla.com/,"Green Gorilla Organics includes USDA certified organic CBD dietary supplements, pet and equine care, and topicals. Their product lines are all third-party lab tested, made in the USA, and use good manufacturing practices.",Seed,2.5M,Relieving Stress,,2013,USA,,,,,,
Moon Mother,https://www.moonmotherhemp.com/,Their full spectrum hemp oil supplements and botanicals are made from USDA certified organic hemp grown in Colorado. Every ingredient in their tinctures and topicals is organic and carefully selected to support healing and wellbeing for body and mind.,Unfunded,,Relieving Stress,,2018,USA,,,,,,
Sisters of the valley Gaia's Hope,https://sistersofgaia.com/,"The oil from Sisters of the Valley has been tested in third-party laboratories. The manufacturer claims it’s produced from organic cannabis and does not contain traces of THC, so it won’t make you fail drug tests.",Unfunded,,Relieving Stress,,2014,USA,,,,,,
Seabedee,https://seabedee.org/,Seabedee is a Health & Wellness brand focused on improving lives naturally through the powerful benefits of CBD.,Unfunded,,Relieving Stress,,2018,USA,,,,,,
Tranquila,https://drinkhacker.com/2010/10/25/review-tranquila-relaxation-shots/,"Tranquila is available in two varieties, with quite different formulations (but both with zero calories, sweetened with sucralose).Tranquila Original can improve overall mood, boost immune system response, and combat stress.Tranquila PM can improve overall mood, boost immune system response, and combat stress, but to put you to sleep too.",Undisclosed,,Relieving Stress,,,USA,,,,,,
Blue Cow,https://www.facebook.com/pg/Blue-Cow-The-Original-Relaxation-Drink-119880034701159/about/?ref=page_internal,"Blue Cow will help you relax and enjoy the many benefits that come from being in a calm, anti-stressed state.",Undisclosed,,Relieving Stress,,2005,USA,,,,,,
Peloton,https://www.onepeloton.com/,"Peloton is an online and app based marketplace for streaming of live bike fitness classes or booking of nearby classes. This is done via the Peloton bike, which is a studio-grade indoor bike with a built-in 21.5"" tablet to stream live and on-demand classes from the instructors. A software company at its core, Peloton uses cloud-based streaming video technology and a proprietary Android powered console to deliver a first-in-class fitness experience to the users worldwide. The company raised $307k as crowdfunding in 2013.",IPO,996000000,Relieving Stress,,2012,USA,,,,,,
Equinox,https://www.equinoxpayments.com/,"Equinox Payments is a payment terminal manufacturer and related secure software provider. Through its commercial offices in the United States, Latvia, Manila and Australia, and a service repair facility in Mexico, Equinox’s more than 200 employees deliver secure payment terminals, applications and services to hundreds of thousands of merchants. Equinox is a portfolio company of The Gores Group, LLC.",Unfunded,,Relieving Stress,,2011,USA,,,,,,
Mile High Run Club,https://milehighrunclub.com/,Provides athletics & fitness training services,Seed,148000000,Relieving Stress,,2013,USA,,,,,,
Xtend Barre,https://www.xtendbarre.com/,"Xtend Barre provides fitness classes. The company provides a Pilates-based workout. Their workout is a combination of dance, ballet, and Pilates. Their workout helps in strengthening the body along with increasing energy and improving balance. The classes are available on a subscription basis.",Unfunded,,Relieving Stress,,2008,USA,,,,,,
Gotham Gym,https://gothamgymnyc.com/,Gym in New York State,Undisclosed,,Relieving Stress,,2011,USA,,,,,,
Pure Barre,https://www.purebarre.com/,"Pure Barre is an offline chain of fitness studios offering a 55-minute full-body workout centered around the ballet barre. Pure Barre uses classic ballets positions to lift seat, tone thighs, abs, and arms, and burn body fat. The company also earns revenue through retail sales of apparel, accessories, DVDs, and equipment, and also through franchisee business. It has over 350 studios in North America.",Unfunded,,Relieving Stress,,2001,USA,,,,,,
Tracy Anderson,https://tracyanderson.com/,TRACY ANDERSON: A REVOLUTIONARY FITNESS METHOD | START TODAY,Undisclosed,,Relieving Stress,,2009,USA,,,,,,
Sweat Yoga,https://www.sweat-yoga.com/,"book a class studios class prices retreats EVENTS JULY - AUGUST SOUNDBATH & YIN | ALL LOCATIONS Join us for a special Yin class accompanied by a sound bath immersion. Details AUG 18 MALIBU SUMMER RETREAT | 8:00AM - LATE AFTERNOON One perfect day of yoga, meditation and the beach. Details March 17 - | Sweat Yoga",Undisclosed,,Relieving Stress,,2013,USA,,,,,,
Orangetheory Fitness,https://www.orangetheoryfitness.com/,"Orange Theory Fitness is a franchise operator of fitness studios located across Georgia. Orangetheory Fitness is a national fitness franchise that was launched in 2010 and has more than 300 locations nationwide. Orangetheory workouts consist of technology-enabled, high-intensity interval training combining strength and cardio work in a 60-minute group class.",Acquired,2000,Relieving Stress,,2002,USA,,,,,,
CARDIOBARRE,https://cardiobarre.com/,"CARDIO BARRE® Cardio Barre® is a unique, high energy/no impact exercise class that combines barre work and lightweights with continual fat burning motion. Central to the workout are toning and resistance exercises for the butt, legs, torso and arms to sculpt muscles and elongate the appearance of your body.",Undisclosed,,Relieving Stress,,,USA,,,,,,
Barry's Bootcamp,https://www.barrys.com/,"Barry's Bootcamp is one of the most popular workouts in the country right now. It is a treadmill style workout where you do intervals on the treadmill, followed by a full body workout on the floor. The workout is a combination of cardiovascular work, and interval training.",Undisclosed,,Relieving Stress,,2014,USA,,,,,,
SoulCycle,https://www.soul-cycle.com/,SoulCycle is a New York City-based fitness company which offers indoor cycling workout classes.,Undisclosed,,Relieving Stress,,2006,USA,,,,,,
Rumble,https://www.doyourumble.com/,"At Rumble we believe the hour we spend working out can inspire the other 23 hours of our day. We believe hard work can put on some party pants and shake its hard-working ass. We believe in sharing our good vibes and energy with the world, and that in many ways, it’s our most important offering. And more than anything, we believe in each other.",Undisclosed,,Relieving Stress,,2016,USA,,,,,,
CYCLEBAR,https://www.cyclebar.com/,"CycleBar offers an indoor cycling space. The company organizes themed cycling with concert environment and amenities. Furthermore, it provides flat-screen TVs, personal data monitors, and audio, video, and lighting technology that creates a multisensory experience.",Unfunded,,Relieving Stress,,2014,USA,,,,,,
modelFIT,https://www.modelfit.com/,ModelFIT is a customized approach to mindful and dynamic movement that builds graceful strength and confident presence both inside and outside the studio. The modelFIT method breaks down large movements to effective and low-impact muscle burning workouts without straining the joints.,Undisclosed,,Relieving Stress,,,USA,,,,,,
Pop Physique,https://popphysique.com/,"Pop Physique, the iconic barre workout and lifestyle brand born in Los Angeles, offers at its core a specialized class designed to sculpt and tone the entire body in just one hour. Driven by thoughtfully curated and innovative playlists in an artistic setting, Pop is much more than just a workout; it is a transformative mind/ body experience.",Undisclosed,,Relieving Stress,,2009,USA,,,,,,
Y7 Studio,https://www.y7-studio.com/,Y7 Studio offers fitness and wellness classes. Their programs created alignment with Yoga Alliance guidelines. The offer teacher Training programs which includes hands-on experience and practical teaching applications.,Unfunded,,Relieving Stress,,2013,USA,,,,,,
The Barre Code,https://thebarrecode.com/,"The Barre Code is the most efficient and results-driven fitness program centered around cardio, strength, and restoration. In addition to our 3 core formats of Barre, Bootcamp, and Brawl™, check out your local studio for some additional class offerings.",Undisclosed,,Relieving Stress,,2010,USA,,,,,,
THE DAILEY METHOD,https://thedaileymethod.com/,"The search for the best barre & cycle fitness class is over. The Dailey Method is here to help you achieve a strong, lean, sculpted body through an evolving mix of fitness practices that samples the best benefits from multiple disciplines.",Undisclosed,,Relieving Stress,,2001,USA,,,,,,
Physique 57,https://physique57.com/,"Physique 57 is a fitness company founded in 2006 and headquartered in New York City. The company offers barre classes through its exercise studios in New York, Los Angeles, Dubai and Bangkok and retails its own line of fitness DVDs and online workouts through its website and in retailers including Lululemon Athletica, Lorna Jane Active and Norma Kamali.",Unfunded,,Relieving Stress,,2006,USA,,,,,,
BALLET BEAUTIFUL,https://www.balletbeautiful.com/,"Ballet Beautiful brings the artistry and athleticism of ballet, fashion and glamour into everyday life.",Unfunded,,Relieving Stress,,2010,USA,,,,,,
Green Blender,https://greenblender.com/,Green Blender delivers a box filled fresh ingredients for 5 different smoothie recipes each week. The organic fruits and vegetables are from local markets and farms. Customers also receive spices and other add-ins – everything required to make the smoothies. Ingredients are pre-portioned for each recipe and include directions for prepping and storing,Seed,"$1,700,000.00",Energizing,Energy consumables,2014,USA,,,,,,
Meal Day Ltd,https://2mealday.com/,"The simplest and most effective method of intermittent fasting. Transform how you feel, how you look and how you perform in 60 days. 2 Meal Day will retrain your body to burn fat, boost energy levels, and banish hunger. Created by Max Lowery.",Unfunded,,Energizing,,2013,USA,,,,,,
DNAFit,https://www.dnafit.com/,"DNAFit provides genetics-based personalized fitness recommendations. Users are required to purchase a saliva sample kit online for sending a sample for DNA analysis. Based on the DNA data, the company provides recommendations on Fitness & Diet for various goals including weight loss, building muscle, and healthy eating; on enhancing sports performance and on improving wellness.",Unfunded,,Energizing,,2013,England,,,,,,
Daily Harvest,https://www.daily-harvest.com/,"Daily Harvest delivers frozen smoothies that are packaged in individual, ready-to-blend cups. Each smoothies is designed by chefs and nutritionists, have organic ingredients and key superfoods. They offer subscription plans starting from $7 per smoothie for a pack of 24.",Series B,44500000,Energizing,Healthy energy drinks,2012,USA,,,,,,
